country,todayCases,todayDeaths,cases,active,recovered,critical,deaths,totalTests,casesPerOneMillion,deathsPerOneMillion,testsPerOneMillion
Nigeria,0,0,288,230,51,2,7,5000,1,0,24
Bolivia,4,1,268,247,2,3,19,591,23,2,51
Palestine,0,0,263,218,44,0,1,16068,52,0,3150
Vietnam,0,0,255,111,144,8,0,114241,3,0,1174
Montenegro,0,0,252,246,4,7,2,2329,401,3,3708
Senegal,0,0,250,125,123,1,2,0,15,0,0
Georgia,0,0,218,164,51,6,3,3271,55,0,820
DRC,35,2,215,182,13,0,20,0,2,0,0
Guinea,0,0,194,183,11,0,0,0,15,0,0
Sri Lanka,0,0,190,134,49,5,7,3248,9,0,152
Isle of Man,0,0,190,97,92,12,1,1879,2234,12,22097
Mayotte,2,0,186,158,26,4,2,1100,682,7,4032
Kenya,0,0,184,165,12,2,7,5278,3,0,98
Faeroe Islands,0,0,184,48,136,0,0,5299,3766,0,108446
Venezuela,0,0,171,78,84,6,9,139282,6,0,4898
Martinique,0,0,154,98,50,19,6,0,410,16,0
Guadeloupe,0,0,143,68,67,13,8,0,357,20,0
Djibouti,0,0,140,111,28,0,1,3399,142,1,3440
Brunei,0,0,135,42,92,3,1,8985,309,2,20538
Paraguay,5,1,129,105,18,1,6,2262,18,0,317
Guatemala,31,0,126,106,17,3,3,1134,7,0,63
Gibraltar,0,0,123,63,60,1,0,1511,3651,0,44849
Cambodia,0,0,119,47,72,1,0,5768,7,0,345
El Salvador,14,0,117,96,15,3,6,0,18,0,0
Rwanda,0,0,113,106,7,0,0,806,9,0,62
Trinidad and Tobago,0,0,109,100,1,0,8,987,78,6,705
Madagascar,0,0,93,82,11,1,0,0,3,0,0
Monaco,0,0,84,78,5,4,1,0,2141,25,0
French Guiana,0,0,83,40,43,1,0,0,278,0,0
Aruba,0,0,82,62,20,0,0,1008,768,0,9441
Liechtenstein,0,0,78,22,55,0,1,900,2046,26,23605
Mali,0,0,74,45,22,0,7,0,4,0,0
Togo,0,0,73,46,24,0,3,1747,9,0,211
Barbados,0,0,66,52,11,4,3,694,230,10,2415
Jamaica,0,0,63,46,13,0,4,907,21,1,306
Congo,0,0,60,50,5,0,5,0,11,0,0
Ethiopia,0,0,56,50,4,2,2,2790,0,0,24
Uganda,0,0,53,53,0,0,0,3310,1,0,72
French Polynesia,0,0,51,51,0,0,0,744,182,0,2649
Sint Maarten,7,2,50,39,3,2,8,134,1166,187,3125
Bermuda,0,0,48,19,25,2,4,354,771,64,5684
Cayman Islands,0,0,45,38,6,0,1,479,685,15,7288
Macao,0,0,45,35,10,1,0,0,69,0,0
Gabon,0,0,44,42,1,0,1,0,20,0,0
Bahamas,0,0,41,28,5,1,8,0,104,20,0
Zambia,0,0,39,14,24,1,1,1239,2,0,67
Guyana,0,0,37,23,8,4,6,145,47,8,184
Guinea-Bissau,0,0,36,36,0,0,0,1500,18,0,762
Eritrea,0,0,33,33,0,0,0,0,9,0,0
Saint Martin,0,0,32,23,7,6,2,0,828,52,0
Liberia,0,0,31,24,3,0,4,0,6,0,0
Haiti,0,0,30,28,0,0,2,257,3,0,23
Myanmar,4,0,27,22,2,0,3,1406,0,0,26
Benin,0,0,26,20,5,0,1,0,2,0,0
Tanzania,0,0,25,19,5,0,1,0,0,0,0
Libya,0,0,24,15,8,0,1,492,3,0,72
Angola,0,0,19,15,2,0,2,0,0,0,0
Antigua and Barbuda,0,0,19,17,0,1,2,40,194,20,408
Syria,0,0,19,13,4,0,2,0,1,0,0
Maldives,0,0,19,6,13,0,0,0,35,0,0
Equatorial Guinea,0,0,18,15,3,0,0,854,13,0,609
New Caledonia,0,0,18,17,1,0,0,2608,63,0,9135
Mozambique,0,0,17,16,1,0,0,483,0,0,15
Dominica,1,0,16,11,5,0,0,309,222,0,4293
Fiji,1,0,16,16,0,0,0,0,18,0,0
Laos,0,0,16,16,0,0,0,903,2,0,124
Mongolia,0,0,16,12,4,0,0,0,5,0,0
Namibia,0,0,16,13,3,0,0,362,6,0,142
Sudan,0,0,15,11,2,0,2,0,0,0,0
Curaçao,0,0,14,6,7,0,1,0,85,6,0
Saint Lucia,0,0,14,13,1,0,0,0,76,0,0
Botswana,0,0,13,12,0,0,1,1154,6,0,491
Somalia,0,0,12,10,1,0,1,0,0,0,0
Grenada,0,0,12,12,0,2,0,45,107,0,400
St. Vincent Grenadines,0,0,12,11,1,0,0,56,108,0,505
Eswatini,0,0,12,5,7,0,0,0,10,0,0
Zimbabwe,0,0,11,8,0,0,3,371,0,0,25
Chad,0,0,11,9,2,0,0,0,0,0,0
Greenland,0,0,11,0,11,0,0,770,194,0,13564
Saint Kitts and Nevis,0,0,11,11,0,0,0,197,207,0,3703
Seychelles,0,0,11,11,0,0,0,0,112,0,0
Suriname,0,0,10,5,4,0,1,0,17,2,0
MS Zaandam,0,0,9,7,0,0,2,0,0,0,0
Belize,0,0,9,8,0,1,1,364,23,3,915
Nepal,0,0,9,8,1,0,0,2895,0,0,99
Montserrat,0,0,9,9,0,1,0,36,1803,0,7212
Malawi,0,0,8,7,0,1,1,0,0,0,0
Turks and Caicos,0,0,8,7,0,0,1,61,207,26,1576
CAR,0,0,8,8,0,0,0,0,2,0,0
Vatican City,0,0,8,6,2,0,0,0,9988,0,0
Cabo Verde,0,0,7,5,1,0,1,0,13,2,0
Mauritania,0,0,7,4,2,0,1,258,2,0,55
Nicaragua,0,0,7,6,0,0,1,0,1,0,0
Sierra Leone,0,0,7,7,0,0,0,0,0,0,0
St. Barth,0,0,6,5,1,0,0,0,607,0,0
Bhutan,0,0,5,3,2,0,0,1166,6,0,1511
Falkland Islands,0,0,5,4,1,0,0,137,1437,0,39368
Gambia,0,0,4,1,2,0,1,0,2,0,0
Sao Tome and Principe,0,0,4,4,0,0,0,19,18,0,87
Western Sahara,0,0,4,4,0,0,0,0,7,0,0
Anguilla,0,0,3,3,0,0,0,0,200,0,0
British Virgin Islands,0,0,3,3,0,0,0,0,99,0,0
Burundi,0,0,3,3,0,0,0,0,0,0,0
South Sudan,0,0,3,3,0,0,0,0,0,0,0
Caribbean Netherlands,0,0,2,2,0,0,0,10,76,0,381
Papua New Guinea,0,0,2,2,0,0,0,72,0,0,8
Timor-Leste,1,0,2,1,1,0,0,0,2,0,0
Saint Pierre Miquelon,0,0,1,1,0,0,0,0,173,0,0
Yemen,1,0,1,1,0,0,0,0,0,0,0
China,42,1,81907,1116,77455,144,3336,0,57,2,0
Total:,681,28,500901,450908,32299,10968,17694,0,0,0,0
Total:,287,12,779139,527967,185342,30360,65830,0,0,0,0
Total:,584,10,264481,125082,129493,6436,9906,0,0,0,0
Total:,57,5,39662,33913,4129,1128,1620,0,0,0,0
Total:,45,3,7522,4106,3361,86,55,0,0,0,0
Total:,37,2,12917,10585,1698,155,634,0,0,0,0
Total:,0,0,721,89,619,10,13,0,0,0,0
